Account,Tài khoản
Account Name,Tên tài khoản
Account Number,Số hiệu TK
Accounting,Kế toán
Accounting Period is Closed,Kỳ kế toán đã được khóa sổ
Accounts,Kế toán
Accounts Payable,Công nợ phải trả (AP)
Accounts Receivable,Công nợ phải thu (AR)
Accumulated Depreciation,Khấu hao lũy kế
Accumulated Depreciation Account,TK Khấu hao (214)
Actions,Thao tác
Active,Đang hoạt động
Actual Qty,Số lượng thực tồn
Add,Thêm
Add Row,Thêm dòng
Allowance Reason Code,Mã lý do giảm trừ
Amend,Sửa đổi
Amount,Thành tiền
An error occurred,Đã xảy ra lỗi
Apply,Áp dụng
Approved,Đã duyệt
Are you sure you want to proceed?,Bạn có chắc chắn muốn tiếp tục?
Are you sure?,Bạn có chắc chắn?
Asset,Tài sản cố định
Asset Category,Nhóm tài sản
Asset Depreciation Ledger,Sổ khấu hao
Asset Movement,Điều chuyển TSCĐ
Asset Name,Tên tài sản
Asset Owner,Người quản lý tài sản
Asset Repair,Sửa chữa TSCĐ
Asset Value Adjustment,Điều chỉnh TSCĐ
Assets,Tài sản
Attendance,Chấm công
Availability Query,Tra cứu phòng trống
Available For Use Date,Ngày đưa vào SD
Back,Quay lại
Balance Sheet,Báo cáo THTC
Bank Account,Tài khoản ngân hàng
Bank Reconciliation,Đối soát ngân hàng
Batch,Lô hàng
Batch has expired,Lô hàng này đã hết hạn sử dụng
Bill of Materials,Định mức BOM
Billed,Đã lập hóa đơn
Billing Address,Địa chỉ hóa đơn
BOM,Định mức BOM
Branch,Chi nhánh
Brand,Thương hiệu
Buying,Mua hàng
Cancel,Hủy chứng từ
Cancelled,Đã hủy
Cannot be deleted,Không thể xóa bản ghi này
Cannot post to a Group Account,Không thể hạch toán vào Tài khoản nhóm / Tổng hợp
Cards,Thẻ nghiệp vụ
Cash Flow,Lưu chuyển tiền tệ
Changes saved,Thay đổi đã được lưu
Chart of Accounts,Cây tài khoản
Check-in successful,Làm thủ tục nhận phòng thành công
Check-out successful,Làm thủ tục trả phòng thành công
Checked In,Đang lưu trú
Checked Out,Đã trả phòng
Clear Filters,Xóa bộ lọc
Close,Đóng
Closed,Đã đóng
Company,Pháp nhân
Completed,Hoàn tất
Confirm,Xác nhận
Confirmed,Đã xác nhận
Cost Center,Trung tâm chi phí
Cost Center Allocation,Phân bổ chi phí
Create New,Tạo mới
Credit,Có
Credit Amount,Số tiền Có
Custom Field,Trường tùy chỉnh
Customer,Khách hàng
Customer Group,Nhóm khách hàng
Customer Type,Loại khách
Dashboard,Bảng điều khiển
Debit,Nợ
Debit Amount,Số tiền Nợ
Default Warehouse,Kho mặc định
Delete,Xóa
Delivery Note,Phiếu xuất giao
Department,Phòng ban
Deposit recorded successfully,Đã ghi nhận tiền đặt cọc thành công
Depreciation Expense Account,TK Chi phí KH (642)
Depreciation Schedule,Lịch khấu hao
Designation,Chức vụ
Disabled,Vô hiệu hóa
Discard,Hủy bỏ
Discount Amount,Tiền chiết khấu
Discount Percentage,Chiết khấu (%)
Do you really want to delete this document?,Bạn có chắc muốn xóa chứng từ này?
Document cancelled successfully,Chứng từ đã được hủy thành công
Document deleted successfully,Chứng từ đã được xóa thành công
Document submitted successfully,Chứng từ đã được ghi sổ thành công
Download,Tải xuống
Draft,Bản nháp
Duplicate,Nhân bản
Edit,Sửa
Email,Gửi Email
Employee,Nhân viên
Employee Advance,Tạm ứng nhân viên
Employee Checkin,Nhật ký Check-in
Employment Type,Loại HĐ lao động
Enabled,Kích hoạt
EOD Closing Entry,Chốt ngày (EOD)
EOD Discrepancies,Chênh lệch EOD
EOD Expense Breakdown,Chi phí EOD
EOD Item Group Sales,Doanh thu nhóm hàng EOD
EOD Item Sales,Doanh thu món EOD
EOD Payment Summary,Tổng hợp thanh toán EOD
EOD POS Profile,Điểm bán EOD
EOD Stock Balance,Tồn kho EOD
Exchange Rate Revaluation,Định giá lại tỷ giá
Expense Category,Hạng mục chi phí
Expense Claim,Tạm ứng / Hoàn ứng
Export,Xuất Excel
Filters,Bộ lọc
Fiscal Year,Niên độ tài chính
Fiscal Year not found,Không tìm thấy Niên độ tài chính
Fixed Asset Account,TK Tài sản (211)
Folio closed successfully,Đã đóng tài khoản Folio thành công
Folio Ledger Adjustment,Điều chỉnh Folio
Folio Transaction,Giao dịch Folio
Folio Transaction Move Log,Nhật ký chuyển Folio
Front Desk Console,Bàn Lễ tân
Front Desk Operations,Nghiệp vụ Tiền sảnh
General Ledger,Sổ cái (GL)
Grand Total,Tổng thanh toán
Gross Purchase Amount,Nguyên giá
Guest,Khách lưu trú
Guest 360 View,Hồ sơ khách 360
Guest Balance Ledger,Sổ công nợ khách
Guest Folio,Tài khoản Folio
Holiday List,Lịch nghỉ lễ
Hospitality,Khách sạn & Nghỉ dưỡng
Hospitality Core,Khách sạn & Nghỉ dưỡng
Hospitality Expense,Chi phí khách sạn
Hospitality Expense Tax,Thuế chi phí
Hotel Group Booking,Đặt phòng đoàn
Hotel Group Booking Room,Phòng trong đoàn
Hotel Maintenance Request,Yêu cầu bảo trì
Hotel Reception,Lễ tân
Hotel Reservation,Đặt phòng
Hotel Room,Phòng khách sạn
Hotel Room Type,Hạng phòng
Housekeeping Board,Bảng buồng phòng
HR,Nhân sự
Human Resources,Nhân sự & Tiền lương
Import,Nhập dữ liệu
In Progress,Đang thực hiện
Inactive,Ngưng hoạt động
Insert Below,Chèn dưới
Inspected,Đã kiểm tra đạt chuẩn
Insufficient stock in warehouse,Không đủ số lượng tồn kho trong kho chỉ định
Integrations,Tích hợp
Invoice amount mismatch,Số tiền trên hóa đơn không khớp
Item,Mặt hàng
Item Attribute,Thuộc tính hàng
Item Code,Mã hàng
Item Group,Nhóm hàng
Item Name,Tên hàng
Item Price,Bảng giá mặt hàng
Item Recipe,Định lượng F&B
Item Variant,Biến thể hàng
Journal Entry,Bút toán sổ cái
Leave Allocation,Cấp phép năm
Leave Application,Đơn xin nghỉ
Leave Type,Loại phép
Loading...,Đang tải dữ liệu...
Lost and Found Item,Đồ thất lạc
Mandatory fields required,Vui lòng nhập đầy đủ các trường bắt buộc
Manufacture,Chế biến / Sản xuất
Master Data,Danh mục dữ liệu gốc
Material Issue,Xuất kho
Material Receipt,Nhập kho
Material Transfer,Chuyển kho
Missing values,Thiếu giá trị bắt buộc
Mode of Payment,Hình thức TT
Move transaction to another folio,Chuyển giao dịch sang Folio khác
Net Purchase Amount,Giá trị còn lại
Net Total,Tổng tiền hàng
New,Tạo mới
Next,Tiếp theo
Night Audit,Kiểm toán đêm
Night audit completed successfully,Đã hoàn tất quy trình kiểm toán đêm thành công
